Lake 1,Lake 2,CCM From,CCM To,E,LibSize,rho
Lake Superior,Lake Huron,Lake Huron,Lake Superior,2,20.0,0.8119846800010755
Lake Superior,Lake Huron,Lake Huron,Lake Superior,2,40.0,0.8116345208539121
Lake Superior,Lake Huron,Lake Huron,Lake Superior,2,60.0,0.816164227561601
Lake Superior,Lake Huron,Lake Huron,Lake Superior,2,80.0,0.8149257870915049
Lake Superior,Lake Huron,Lake Huron,Lake Superior,2,100.0,0.8162773731310387
Lake Superior,Lake Huron,Lake Huron,Lake Superior,2,120.0,0.8124975047796378
Lake Superior,Lake Huron,Lake Huron,Lake Superior,2,140.0,0.8121401240303024
Lake Superior,Lake Huron,Lake Huron,Lake Superior,2,160.0,0.8116210960406415
Lake Superior,Lake Huron,Lake Huron,Lake Superior,2,180.0,0.8096479027337027
Lake Superior,Lake Huron,Lake Huron,Lake Superior,2,200.0,0.8079125846609811
Lake Superior,Lake Huron,Lake Huron,Lake Superior,2,220.0,0.8056931599955739
Lake Superior,Lake Huron,Lake Superior,Lake Huron,2,20.0,0.8091989588016281
Lake Superior,Lake Huron,Lake Superior,Lake Huron,2,40.0,0.8266422671025764
Lake Superior,Lake Huron,Lake Superior,Lake Huron,2,60.0,0.8325094828705595
Lake Superior,Lake Huron,Lake Superior,Lake Huron,2,80.0,0.8248979615076435
Lake Superior,Lake Huron,Lake Superior,Lake Huron,2,100.0,0.82443547592345
Lake Superior,Lake Huron,Lake Superior,Lake Huron,2,120.0,0.8285180495653289
Lake Superior,Lake Huron,Lake Superior,Lake Huron,2,140.0,0.8311661938724912
Lake Superior,Lake Huron,Lake Superior,Lake Huron,2,160.0,0.8309351768563055
Lake Superior,Lake Huron,Lake Superior,Lake Huron,2,180.0,0.833325210286937
Lake Superior,Lake Huron,Lake Superior,Lake Huron,2,200.0,0.8352289759565066
Lake Superior,Lake Huron,Lake Superior,Lake Huron,2,220.0,0.8391637198328086
Lake Superior,Lake Michigan,Lake Michigan,Lake Superior,2,20.0,0.8011015144234003
Lake Superior,Lake Michigan,Lake Michigan,Lake Superior,2,40.0,0.8016644908322028
Lake Superior,Lake Michigan,Lake Michigan,Lake Superior,2,60.0,0.8065250331144579
Lake Superior,Lake Michigan,Lake Michigan,Lake Superior,2,80.0,0.8041502657283601
Lake Superior,Lake Michigan,Lake Michigan,Lake Superior,2,100.0,0.8066493767766276
Lake Superior,Lake Michigan,Lake Michigan,Lake Superior,2,120.0,0.8024737163947119
Lake Superior,Lake Michigan,Lake Michigan,Lake Superior,2,140.0,0.8022040589684437
Lake Superior,Lake Michigan,Lake Michigan,Lake Superior,2,160.0,0.8017872280958077
Lake Superior,Lake Michigan,Lake Michigan,Lake Superior,2,180.0,0.8001336428203694
Lake Superior,Lake Michigan,Lake Michigan,Lake Superior,2,200.0,0.7985059520128783
Lake Superior,Lake Michigan,Lake Michigan,Lake Superior,2,220.0,0.7960255812827395
Lake Superior,Lake Michigan,Lake Superior,Lake Michigan,2,20.0,0.81823098261535
Lake Superior,Lake Michigan,Lake Superior,Lake Michigan,2,40.0,0.828760793796081
Lake Superior,Lake Michigan,Lake Superior,Lake Michigan,2,60.0,0.8341499474703389
Lake Superior,Lake Michigan,Lake Superior,Lake Michigan,2,80.0,0.8339829018034675
Lake Superior,Lake Michigan,Lake Superior,Lake Michigan,2,100.0,0.8286018681598415
Lake Superior,Lake Michigan,Lake Superior,Lake Michigan,2,120.0,0.8259378677884703
Lake Superior,Lake Michigan,Lake Superior,Lake Michigan,2,140.0,0.8304087694769493
Lake Superior,Lake Michigan,Lake Superior,Lake Michigan,2,160.0,0.8328378024879035
Lake Superior,Lake Michigan,Lake Superior,Lake Michigan,2,180.0,0.8284263363745972
Lake Superior,Lake Michigan,Lake Superior,Lake Michigan,2,200.0,0.8308879903927316
Lake Superior,Lake Michigan,Lake Superior,Lake Michigan,2,220.0,0.8329284645559818
Lake Superior,Lake Erie,Lake Erie,Lake Superior,3,20.0,0.5783568519184011
Lake Superior,Lake Erie,Lake Erie,Lake Superior,3,40.0,0.5978748211638255
Lake Superior,Lake Erie,Lake Erie,Lake Superior,3,60.0,0.621874999013706
Lake Superior,Lake Erie,Lake Erie,Lake Superior,3,80.0,0.6096113642044266
Lake Superior,Lake Erie,Lake Erie,Lake Superior,3,100.0,0.611775564302319
Lake Superior,Lake Erie,Lake Erie,Lake Superior,3,120.0,0.6011068907638101
Lake Superior,Lake Erie,Lake Erie,Lake Superior,3,140.0,0.5956722793125162
Lake Superior,Lake Erie,Lake Erie,Lake Superior,3,160.0,0.596083632247141
Lake Superior,Lake Erie,Lake Erie,Lake Superior,3,180.0,0.5882640041564967
Lake Superior,Lake Erie,Lake Erie,Lake Superior,3,200.0,0.5849130967086537
Lake Superior,Lake Erie,Lake Erie,Lake Superior,3,220.0,0.5823208312870095
Lake Superior,Lake Erie,Lake Superior,Lake Erie,3,20.0,0.6495120371072788
Lake Superior,Lake Erie,Lake Superior,Lake Erie,3,40.0,0.6602163941540843
Lake Superior,Lake Erie,Lake Superior,Lake Erie,3,60.0,0.6792680190211068
Lake Superior,Lake Erie,Lake Superior,Lake Erie,3,80.0,0.6734975527561197
Lake Superior,Lake Erie,Lake Superior,Lake Erie,3,100.0,0.6802786263536308
Lake Superior,Lake Erie,Lake Superior,Lake Erie,3,120.0,0.6772784812189052
Lake Superior,Lake Erie,Lake Superior,Lake Erie,3,140.0,0.6705672643280639
Lake Superior,Lake Erie,Lake Superior,Lake Erie,3,160.0,0.6767637675220779
Lake Superior,Lake Erie,Lake Superior,Lake Erie,3,180.0,0.6773202813468628
Lake Superior,Lake Erie,Lake Superior,Lake Erie,3,200.0,0.6757108728041372
Lake Superior,Lake Erie,Lake Superior,Lake Erie,3,220.0,0.6775608505586928
Lake Superior,Lake Ontario,Lake Ontario,Lake Superior,3,20.0,0.34593967288979816
Lake Superior,Lake Ontario,Lake Ontario,Lake Superior,3,40.0,0.42128410031002106
Lake Superior,Lake Ontario,Lake Ontario,Lake Superior,3,60.0,0.46505667069647433
Lake Superior,Lake Ontario,Lake Ontario,Lake Superior,3,80.0,0.4770772546058578
Lake Superior,Lake Ontario,Lake Ontario,Lake Superior,3,100.0,0.48843685380361146
Lake Superior,Lake Ontario,Lake Ontario,Lake Superior,3,120.0,0.4762228027972471
Lake Superior,Lake Ontario,Lake Ontario,Lake Superior,3,140.0,0.4873869842017178
Lake Superior,Lake Ontario,Lake Ontario,Lake Superior,3,160.0,0.4936482975843086
Lake Superior,Lake Ontario,Lake Ontario,Lake Superior,3,180.0,0.4880452031507817
Lake Superior,Lake Ontario,Lake Ontario,Lake Superior,3,200.0,0.49064426557459145
Lake Superior,Lake Ontario,Lake Ontario,Lake Superior,3,220.0,0.4916560535247818
Lake Superior,Lake Ontario,Lake Superior,Lake Ontario,3,20.0,0.2923099789908744
Lake Superior,Lake Ontario,Lake Superior,Lake Ontario,3,40.0,0.2882396173982786
Lake Superior,Lake Ontario,Lake Superior,Lake Ontario,3,60.0,0.32388579460862166
Lake Superior,Lake Ontario,Lake Superior,Lake Ontario,3,80.0,0.31031468659881656
Lake Superior,Lake Ontario,Lake Superior,Lake Ontario,3,100.0,0.34381748907607573
Lake Superior,Lake Ontario,Lake Superior,Lake Ontario,3,120.0,0.33034087374704296
Lake Superior,Lake Ontario,Lake Superior,Lake Ontario,3,140.0,0.3333781029394334
Lake Superior,Lake Ontario,Lake Superior,Lake Ontario,3,160.0,0.3394225059251653
Lake Superior,Lake Ontario,Lake Superior,Lake Ontario,3,180.0,0.34215182912533093
Lake Superior,Lake Ontario,Lake Superior,Lake Ontario,3,200.0,0.32099192840110463
Lake Superior,Lake Ontario,Lake Superior,Lake Ontario,3,220.0,0.325978431384076
Lake Superior,Lake Woods,Lake Woods,Lake Superior,2,20.0,0.2401819535160828
Lake Superior,Lake Woods,Lake Woods,Lake Superior,2,40.0,0.3043830305861891
Lake Superior,Lake Woods,Lake Woods,Lake Superior,2,60.0,0.3566332503097803
Lake Superior,Lake Woods,Lake Woods,Lake Superior,2,80.0,0.3620509023109474
Lake Superior,Lake Woods,Lake Woods,Lake Superior,2,100.0,0.34757616709724243
Lake Superior,Lake Woods,Lake Woods,Lake Superior,2,120.0,0.3453214390288862
Lake Superior,Lake Woods,Lake Woods,Lake Superior,2,140.0,0.348272657850789
