Lake 1,Lake 2,Manifold Lake,Estimated Lake,CCM From,CCM To,CCM Direction,Raw Direction,E,Start rho,Final rho,Rho gain,Early mean rho,Late mean rho,Late–early rho gain
Lake Superior,Lake Huron,Lake Superior,Lake Huron,Lake Huron,Lake Superior,Lake Huron → Lake Superior,lake_1:lake_2,2,0.8119846800010755,0.8056931599955739,-0.006291520005501594,0.8132611428055295,0.8077512157967526,-0.005509927008776949
Lake Superior,Lake Huron,Lake Huron,Lake Superior,Lake Superior,Lake Huron,Lake Superior → Lake Huron,lake_2:lake_1,2,0.8091989588016281,0.8391637198328086,0.02996476103118051,0.8227835695915879,0.8359059686920841,0.013122399100496174
Lake Superior,Lake Michigan,Lake Superior,Lake Michigan,Lake Michigan,Lake Superior,Lake Michigan → Lake Superior,lake_1:lake_2,2,0.8011015144234003,0.7960255812827395,-0.005075933140660793,0.8030970127900203,0.7982217253719958,-0.004875287418024565
Lake Superior,Lake Michigan,Lake Michigan,Lake Superior,Lake Superior,Lake Michigan,Lake Superior → Lake Michigan,lake_2:lake_1,2,0.81823098261535,0.8329284645559818,0.014697481940631807,0.8270472412939233,0.8307475971077704,0.0037003558138470893
Lake Superior,Lake Erie,Lake Superior,Lake Erie,Lake Erie,Lake Superior,Lake Erie → Lake Superior,lake_1:lake_2,3,0.5783568519184011,0.5823208312870095,0.003963979368608372,0.5993688906986442,0.5851659773840533,-0.014202913314590893
Lake Superior,Lake Erie,Lake Erie,Lake Superior,Lake Superior,Lake Erie,Lake Superior → Lake Erie,lake_2:lake_1,3,0.6495120371072788,0.6775608505586928,0.028048813451413968,0.6629988167608233,0.6768640015698976,0.013865184809074282
Lake Superior,Lake Ontario,Lake Superior,Lake Ontario,Lake Ontario,Lake Superior,Lake Ontario → Lake Superior,lake_1:lake_2,3,0.34593967288979816,0.4916560535247818,0.14571638063498366,0.4107601479654312,0.49011517408338495,0.07935502611795375
Lake Superior,Lake Ontario,Lake Ontario,Lake Superior,Lake Superior,Lake Ontario,Lake Superior → Lake Ontario,lake_2:lake_1,3,0.2923099789908744,0.325978431384076,0.0336684523932016,0.30147846366592485,0.3297073963035039,0.02822893263757903
Lake Superior,Lake Woods,Lake Superior,Lake Woods,Lake Woods,Lake Superior,Lake Woods → Lake Superior,lake_1:lake_2,2,0.2401819535160828,0.33910821655796364,0.09892626304188085,0.3003994114706841,0.34171735282570354,0.04131794135501943
Lake Superior,Lake Woods,Lake Woods,Lake Superior,Lake Superior,Lake Woods,Lake Superior → Lake Woods,lake_2:lake_1,2,0.213646246858131,0.2954631505993773,0.08181690374124628,0.22788964848434504,0.30006706965252805,0.07217742116818301
Lake Superior,Great Salt Lake,Lake Superior,Great Salt Lake,Great Salt Lake,Lake Superior,Great Salt Lake → Lake Superior,lake_1:lake_2,2,0.523737633073196,0.5361829272349253,0.012445294161729348,0.5387036148469098,0.537577559245238,-0.0011260556016717826
Lake Superior,Great Salt Lake,Great Salt Lake,Lake Superior,Lake Superior,Great Salt Lake,Lake Superior → Great Salt Lake,lake_2:lake_1,2,0.584288522007576,0.5886849868232218,0.0043964648156458175,0.5996824062403089,0.5904273508736989,-0.009255055366609977
Lake Superior,Lake Champlain,Lake Superior,Lake Champlain,Lake Champlain,Lake Superior,Lake Champlain → Lake Superior,lake_1:lake_2,3,0.2657856850902083,0.31389706335343376,0.04811137826322548,0.25638743841142436,0.3090013135817686,0.052613875170344215
Lake Superior,Lake Champlain,Lake Champlain,Lake Superior,Lake Superior,Lake Champlain,Lake Superior → Lake Champlain,lake_2:lake_1,3,0.2314711904851779,0.3427742183276653,0.11130302784248741,0.2506501960871241,0.33965379829999415,0.08900360221287007
Lake Superior,Red Lake,Lake Superior,Red Lake,Red Lake,Lake Superior,Red Lake → Lake Superior,lake_1:lake_2,2,0.08240459735943595,0.04319301688411451,-0.03921158047532144,0.1003474705922532,0.058766554352770416,-0.04158091623948278
Lake Superior,Red Lake,Red Lake,Lake Superior,Lake Superior,Red Lake,Lake Superior → Red Lake,lake_2:lake_1,2,0.16246297553476954,0.35946807339665326,0.19700509786188372,0.2042620628349466,0.34903159590783495,0.14476953307288834
Lake Superior,Lake Tahoe,Lake Superior,Lake Tahoe,Lake Tahoe,Lake Superior,Lake Tahoe → Lake Superior,lake_1:lake_2,2,0.11323417426252753,0.18589352007478463,0.0726593458122571,0.12626475758602237,0.18064892005029745,0.054384162464275076
Lake Superior,Lake Tahoe,Lake Tahoe,Lake Superior,Lake Superior,Lake Tahoe,Lake Superior → Lake Tahoe,lake_2:lake_1,2,0.2357064769251386,0.36048232768247035,0.12477585075733175,0.2838354793311468,0.3579917631082532,0.07415628377710642
Lake Huron,Lake Michigan,Lake Huron,Lake Michigan,Lake Michigan,Lake Huron,Lake Michigan → Lake Huron,lake_1:lake_2,2,0.9806742945401649,0.9958111462246793,0.015136851684514396,0.9867987456989266,0.99571118532737,0.008912439628443458
Lake Huron,Lake Michigan,Lake Michigan,Lake Huron,Lake Huron,Lake Michigan,Lake Huron → Lake Michigan,lake_2:lake_1,2,0.9851359008369766,0.9973982218713922,0.012262321034415602,0.9903363301800154,0.9973211531865348,0.0069848230065193695
Lake Huron,Lake Erie,Lake Huron,Lake Erie,Lake Erie,Lake Huron,Lake Erie → Lake Huron,lake_1:lake_2,3,0.8335604515700377,0.9025087947508463,0.06894834318080867,0.8609723615660942,0.9009705350277635,0.03999817346166923
Lake Huron,Lake Erie,Lake Erie,Lake Huron,Lake Huron,Lake Erie,Lake Huron → Lake Erie,lake_2:lake_1,3,0.8860424324928994,0.9096254681011929,0.023583035608293557,0.895861645685989,0.9086208428880814,0.012759197202092398
Lake Huron,Lake Ontario,Lake Huron,Lake Ontario,Lake Ontario,Lake Huron,Lake Ontario → Lake Huron,lake_1:lake_2,3,0.43249913852730704,0.7631014313103461,0.3306022927830391,0.5605510552043035,0.7578630685175574,0.19731201331325388
Lake Huron,Lake Ontario,Lake Ontario,Lake Huron,Lake Huron,Lake Ontario,Lake Huron → Lake Ontario,lake_2:lake_1,3,0.2827782179061182,0.3905786394646699,0.10780042155855174,0.31151580291537484,0.3902788786361373,0.07876307572076247
Lake Huron,Lake Woods,Lake Huron,Lake Woods,Lake Woods,Lake Huron,Lake Woods → Lake Huron,lake_1:lake_2,2,0.08102627346106113,0.18018222249569335,0.09915594903463222,0.11006864388008507,0.17875672630871198,0.06868808242862691
Lake Huron,Lake Woods,Lake Woods,Lake Huron,Lake Huron,Lake Woods,Lake Huron → Lake Woods,lake_2:lake_1,2,0.05625553061328825,0.1547332728124577,0.09847774219916944,0.08243574102712309,0.1626247215386699,0.0801889805115468
Lake Huron,Great Salt Lake,Lake Huron,Great Salt Lake,Great Salt Lake,Lake Huron,Great Salt Lake → Lake Huron,lake_1:lake_2,2,0.5973461869548813,0.601165430796605,0.0038192438417237184,0.5978401074180195,0.6050629825026883,0.0072228750846687895
Lake Huron,Great Salt Lake,Great Salt Lake,Lake Huron,Lake Huron,Great Salt Lake,Lake Huron → Great Salt Lake,lake_2:lake_1,2,0.5048602223816984,0.4790224083098115,-0.025837814071886844,0.5040883262339563,0.48081702383137254,-0.023271302402583738
Lake Huron,Lake Champlain,Lake Huron,Lake Champlain,Lake Champlain,Lake Huron,Lake Champlain → Lake Huron,lake_1:lake_2,3,0.33105981401288254,0.6069186254542251,0.2758588114413426,0.40700131307090387,0.5961215497102005,0.1891202366392966
Lake Huron,Lake Champlain,Lake Champlain,Lake Huron,Lake Huron,Lake Champlain,Lake Huron → Lake Champlain,lake_2:lake_1,3,0.11039511622116335,0.18735658676914163,0.07696147054797828,0.13752106641438697,0.1894055233621599,0.05188445694777294
Lake Huron,Red Lake,Lake Huron,Red Lake,Red Lake,Lake Huron,Red Lake → Lake Huron,lake_1:lake_2,2,0.3533544383795693,0.4746437396107256,0.12128930123115628,0.3959218283925103,0.4708768945516916,0.07495506615918135
Lake Huron,Red Lake,Red Lake,Lake Huron,Lake Huron,Red Lake,Lake Huron → Red Lake,lake_2:lake_1,2,0.24639816293341096,0.4119318332723007,0.16553367033888974,0.28940344941428614,0.40660915742320913,0.11720570800892299
Lake Huron,Lake Tahoe,Lake Huron,Lake Tahoe,Lake Tahoe,Lake Huron,Lake Tahoe → Lake Huron,lake_1:lake_2,2,0.21070811477384205,0.2834207591040385,0.07271264433019647,0.20153243548316035,0.27665469993739183,0.07512226445423148
Lake Huron,Lake Tahoe,Lake Tahoe,Lake Huron,Lake Huron,Lake Tahoe,Lake Huron → Lake Tahoe,lake_2:lake_1,2,0.18655522891566795,0.23061618675651235,0.044060957840844406,0.206234288365022,0.2343715067969047,0.028137218431882688
Lake Michigan,Lake Erie,Lake Michigan,Lake Erie,Lake Erie,Lake Michigan,Lake Erie → Lake Michigan,lake_1:lake_2,3,0.8397263892145143,0.895522421470033,0.05579603225551877,0.8629235344572672,0.8958877113509839,0.03296417689371667
Lake Michigan,Lake Erie,Lake Erie,Lake Michigan,Lake Michigan,Lake Erie,Lake Michigan → Lake Erie,lake_2:lake_1,3,0.8838447889105359,0.907815031198689,0.023970242288153143,0.8942805769931236,0.9069864242231036,0.012705847229980027
Lake Michigan,Lake Ontario,Lake Michigan,Lake Ontario,Lake Ontario,Lake Michigan,Lake Ontario → Lake Michigan,lake_1:lake_2,3,0.4557038038908795,0.7720248054972199,0.31632100160634036,0.5732506255048054,0.7705336473421468,0.19728302183734137
Lake Michigan,Lake Ontario,Lake Ontario,Lake Michigan,Lake Michigan,Lake Ontario,Lake Michigan → Lake Ontario,lake_2:lake_1,3,0.29223346243612613,0.3913693542821646,0.09913589184603849,0.3180517627347959,0.3916596562187502,0.0736078934839543
Lake Michigan,Lake Woods,Lake Michigan,Lake Woods,Lake Woods,Lake Michigan,Lake Woods → Lake Michigan,lake_1:lake_2,2,0.13623524845030927,0.2895207751816999,0.15328552673139062,0.1734410171175227,0.2842887890651742,0.1108477719476515
Lake Michigan,Lake Woods,Lake Woods,Lake Michigan,Lake Michigan,Lake Woods,Lake Michigan → Lake Woods,lake_2:lake_1,2,0.05390316577318917,0.15009976093776997,0.0961965951645808,0.08112536593246575,0.15837193695784582,0.07724657102538007
Lake Michigan,Great Salt Lake,Lake Michigan,Great Salt Lake,Great Salt Lake,Lake Michigan,Great Salt Lake → Lake Michigan,lake_1:lake_2,2,0.5913695231378143,0.642800785876595,0.051431262738780625,0.6070123005483922,0.6381114099516341,0.031099109403241898
Lake Michigan,Great Salt Lake,Great Salt Lake,Lake Michigan,Lake Michigan,Great Salt Lake,Lake Michigan → Great Salt Lake,lake_2:lake_1,2,0.49669573557145413,0.47346964374636463,-0.0232260918250895,0.4979027031880962,0.475409727179348,-0.022492976008748222
Lake Michigan,Lake Champlain,Lake Michigan,Lake Champlain,Lake Champlain,Lake Michigan,Lake Champlain → Lake Michigan,lake_1:lake_2,3,0.3476970980366259,0.6039197005120476,0.25622260247542167,0.4179568144526016,0.5987436559639241,0.18078684151132252
Lake Michigan,Lake Champlain,Lake Champlain,Lake Michigan,Lake Michigan,Lake Champlain,Lake Michigan → Lake Champlain,lake_2:lake_1,3,0.09615919251678653,0.1698969148824107,0.07373772236562418,0.12405443633716068,0.17234301085565282,0.04828857451849214
Lake Michigan,Red Lake,Lake Michigan,Red Lake,Red Lake,Lake Michigan,Red Lake → Lake Michigan,lake_1:lake_2,2,0.356168562883161,0.4701315170411468,0.1139629541579858,0.40247517397192656,0.4629787864740081,0.06050361250208153
Lake Michigan,Red Lake,Red Lake,Lake Michigan,Lake Michigan,Red Lake,Lake Michigan → Red Lake,lake_2:lake_1,2,0.24698978275995054,0.40854155365191647,0.16155177089196593,0.2901493377321072,0.40408490551971704,0.11393556778760983
Lake Michigan,Lake Tahoe,Lake Michigan,Lake Tahoe,Lake Tahoe,Lake Michigan,Lake Tahoe → Lake Michigan,lake_1:lake_2,2,0.20471764470968243,0.1153137709706605,-0.08940387373902192,0.18586230330720432,0.12039812712457099,-0.06546417618263334
Lake Michigan,Lake Tahoe,Lake Tahoe,Lake Michigan,Lake Michigan,Lake Tahoe,Lake Michigan → Lake Tahoe,lake_2:lake_1,2,0.19017890448159075,0.23343225572461007,0.04325335124301932,0.20843657281187744,0.23747163944307428,0.029035066631196843
Lake Erie,Lake Ontario,Lake Erie,Lake Ontario,Lake Ontario,Lake Erie,Lake Ontario → Lake Erie,lake_1:lake_2,3,0.5601854780893025,0.6512392476882674,0.09105376959896483,0.5930782925157956,0.6505243894911429,0.057446096975347305
Lake Erie,Lake Ontario,Lake Ontario,Lake Erie,Lake Erie,Lake Ontario,Lake Erie → Lake Ontario,lake_2:lake_1,3,0.5331598062715233,0.6304715538232929,0.09731174755176963,0.5615854853911681,0.628267600217958,0.06668211482678987
