Lake 1,Lake 2,Lake 1 E,Lake 2 E,Common E
Lake Superior,Lake Huron,2,2,2
Lake Superior,Lake Michigan,2,2,2
Lake Superior,Lake Erie,2,3,3
Lake Superior,Lake Ontario,2,3,3
Lake Superior,Lake Woods,2,2,2
Lake Superior,Great Salt Lake,2,1,2
Lake Superior,Lake Champlain,2,3,3
Lake Superior,Red Lake,2,2,2
Lake Superior,Lake Tahoe,2,2,2
Lake Huron,Lake Michigan,2,2,2
Lake Huron,Lake Erie,2,3,3
Lake Huron,Lake Ontario,2,3,3
Lake Huron,Lake Woods,2,2,2
Lake Huron,Great Salt Lake,2,1,2
Lake Huron,Lake Champlain,2,3,3
Lake Huron,Red Lake,2,2,2
Lake Huron,Lake Tahoe,2,2,2
Lake Michigan,Lake Erie,2,3,3
Lake Michigan,Lake Ontario,2,3,3
Lake Michigan,Lake Woods,2,2,2
Lake Michigan,Great Salt Lake,2,1,2
Lake Michigan,Lake Champlain,2,3,3
Lake Michigan,Red Lake,2,2,2
Lake Michigan,Lake Tahoe,2,2,2
Lake Erie,Lake Ontario,3,3,3
Lake Erie,Lake Woods,3,2,3
Lake Erie,Great Salt Lake,3,1,3
Lake Erie,Lake Champlain,3,3,3
Lake Erie,Red Lake,3,2,3
Lake Erie,Lake Tahoe,3,2,3
Lake Ontario,Lake Woods,3,2,3
Lake Ontario,Great Salt Lake,3,1,3
Lake Ontario,Lake Champlain,3,3,3
Lake Ontario,Red Lake,3,2,3
Lake Ontario,Lake Tahoe,3,2,3
Lake Woods,Great Salt Lake,2,1,2
Lake Woods,Lake Champlain,2,3,3
Lake Woods,Red Lake,2,2,2
Lake Woods,Lake Tahoe,2,2,2
Great Salt Lake,Lake Champlain,1,3,3
Great Salt Lake,Red Lake,1,2,2
Great Salt Lake,Lake Tahoe,1,2,2
Lake Champlain,Red Lake,3,2,3
Lake Champlain,Lake Tahoe,3,2,3
Red Lake,Lake Tahoe,2,2,2
