Lake 1,Lake 2,E,Direction 1,Direction 1 final rho,Direction 1 late–early gain,Direction 2,Direction 2 final rho,Direction 2 late–early gain,Mean final rho,Mean late–early gain,Final rho asymmetry
Lake Superior,Lake Huron,2,Lake Huron → Lake Superior,0.8056931599955739,-0.005509927008776949,Lake Superior → Lake Huron,0.8391637198328086,0.013122399100496174,0.8224284399141912,0.0038062360458596123,0.03347055983723468
Lake Superior,Lake Michigan,2,Lake Michigan → Lake Superior,0.7960255812827395,-0.004875287418024565,Lake Superior → Lake Michigan,0.8329284645559818,0.0037003558138470893,0.8144770229193606,-0.000587465802088738,0.036902883273242315
Lake Superior,Lake Erie,3,Lake Erie → Lake Superior,0.5823208312870095,-0.014202913314590893,Lake Superior → Lake Erie,0.6775608505586928,0.013865184809074282,0.6299408409228511,-0.00016886425275830508,0.09524001927168324
Lake Superior,Lake Ontario,3,Lake Ontario → Lake Superior,0.4916560535247818,0.07935502611795375,Lake Superior → Lake Ontario,0.325978431384076,0.02822893263757903,0.4088172424544289,0.05379197937776639,0.1656776221407058
Lake Superior,Lake Woods,2,Lake Woods → Lake Superior,0.33910821655796364,0.04131794135501943,Lake Superior → Lake Woods,0.2954631505993773,0.07217742116818301,0.3172856835786705,0.05674768126160122,0.04364506595858636
Lake Superior,Great Salt Lake,2,Great Salt Lake → Lake Superior,0.5361829272349253,-0.0011260556016717826,Lake Superior → Great Salt Lake,0.5886849868232218,-0.009255055366609977,0.5624339570290735,-0.00519055548414088,0.05250205958829646
Lake Superior,Lake Champlain,3,Lake Champlain → Lake Superior,0.31389706335343376,0.052613875170344215,Lake Superior → Lake Champlain,0.3427742183276653,0.08900360221287007,0.32833564084054956,0.07080873869160714,0.028877154974231545
Lake Superior,Red Lake,2,Red Lake → Lake Superior,0.04319301688411451,-0.04158091623948278,Lake Superior → Red Lake,0.35946807339665326,0.14476953307288834,0.2013305451403839,0.051594308416702775,0.31627505651253873
Lake Superior,Lake Tahoe,2,Lake Tahoe → Lake Superior,0.18589352007478463,0.054384162464275076,Lake Superior → Lake Tahoe,0.36048232768247035,0.07415628377710642,0.2731879238786275,0.06427022312069075,0.17458880760768572
Lake Huron,Lake Michigan,2,Lake Michigan → Lake Huron,0.9958111462246793,0.008912439628443458,Lake Huron → Lake Michigan,0.9973982218713922,0.0069848230065193695,0.9966046840480357,0.007948631317481414,0.0015870756467128988
Lake Huron,Lake Erie,3,Lake Erie → Lake Huron,0.9025087947508463,0.03999817346166923,Lake Huron → Lake Erie,0.9096254681011929,0.012759197202092398,0.9060671314260196,0.026378685331880813,0.007116673350346603
Lake Huron,Lake Ontario,3,Lake Ontario → Lake Huron,0.7631014313103461,0.19731201331325388,Lake Huron → Lake Ontario,0.3905786394646699,0.07876307572076247,0.576840035387508,0.13803754451700817,0.3725227918456762
Lake Huron,Lake Woods,2,Lake Woods → Lake Huron,0.18018222249569335,0.06868808242862691,Lake Huron → Lake Woods,0.1547332728124577,0.0801889805115468,0.1674577476540755,0.07443853147008686,0.02544894968323566
Lake Huron,Great Salt Lake,2,Great Salt Lake → Lake Huron,0.601165430796605,0.0072228750846687895,Lake Huron → Great Salt Lake,0.4790224083098115,-0.023271302402583738,0.5400939195532083,-0.008024213658957474,0.12214302248679348
Lake Huron,Lake Champlain,3,Lake Champlain → Lake Huron,0.6069186254542251,0.1891202366392966,Lake Huron → Lake Champlain,0.18735658676914163,0.05188445694777294,0.39713760611168336,0.12050234679353478,0.4195620386850835
Lake Huron,Red Lake,2,Red Lake → Lake Huron,0.4746437396107256,0.07495506615918135,Lake Huron → Red Lake,0.4119318332723007,0.11720570800892299,0.4432877864415131,0.09608038708405217,0.06271190633842488
Lake Huron,Lake Tahoe,2,Lake Tahoe → Lake Huron,0.2834207591040385,0.07512226445423148,Lake Huron → Lake Tahoe,0.23061618675651235,0.028137218431882688,0.25701847293027547,0.051629741443057084,0.05280457234752617
Lake Michigan,Lake Erie,3,Lake Erie → Lake Michigan,0.895522421470033,0.03296417689371667,Lake Michigan → Lake Erie,0.907815031198689,0.012705847229980027,0.901668726334361,0.022835012061848348,0.012292609728655979
Lake Michigan,Lake Ontario,3,Lake Ontario → Lake Michigan,0.7720248054972199,0.19728302183734137,Lake Michigan → Lake Ontario,0.3913693542821646,0.0736078934839543,0.5816970798896922,0.13544545766064783,0.38065545121505523
Lake Michigan,Lake Woods,2,Lake Woods → Lake Michigan,0.2895207751816999,0.1108477719476515,Lake Michigan → Lake Woods,0.15009976093776997,0.07724657102538007,0.21981026805973491,0.09404717148651578,0.1394210142439299
Lake Michigan,Great Salt Lake,2,Great Salt Lake → Lake Michigan,0.642800785876595,0.031099109403241898,Lake Michigan → Great Salt Lake,0.47346964374636463,-0.022492976008748222,0.5581352148114798,0.004303066697246838,0.16933114213023032
Lake Michigan,Lake Champlain,3,Lake Champlain → Lake Michigan,0.6039197005120476,0.18078684151132252,Lake Michigan → Lake Champlain,0.1698969148824107,0.04828857451849214,0.38690830769722917,0.11453770801490733,0.43402278562963686
