Lake,Preferred Model,Statistical RMSE,Statistical MAE,Statistical R2,Statistical NRMSE,Statistical N_test,Seasonal Naive RMSE,Seasonal Naive MAE,Seasonal Naive R2,Seasonal Naive NRMSE,XGBoost RMSE,XGBoost MAE,XGBoost R2,XGBoost NRMSE,XGBoost N_test,Evaluation N Match,Lowest-RMSE Model,Lowest RMSE
Lake Superior,Fourier-only,0.5876332198157351,0.4638507760550161,0.0506000605241883,0.974030812363868,1430,0.6060742067238509,0.4889440559440571,-0.0099226788389288,1.0045976504070542,0.709693868981622,0.6138379657451937,-0.38477313074506725,1.1763523102907394,1430,True,Fourier-only,0.5876332198157351
Lake Huron,Fourier-only,1.0374261671171254,0.9034006036699708,-1.5941571622741169,1.610087438143328,1461,1.5581986626659932,1.4212155108128302,-4.613020195024219,2.368297805943736,1.3458066408656382,1.146661239091378,-3.365632977100054,2.0886945358714804,1461,True,Fourier-only,1.0374261671171254
Lake Michigan,Fourier-only,1.3933059163156596,1.289528064392072,-3.161037991090077,2.0391640237620186,1461,1.5528365557667014,1.4062765229294998,-4.16844871478153,2.272644077816863,1.275391939052552,1.0867375359610296,-2.4865512549958324,1.8665917713097815,1461,True,XGBoost,1.275391939052552
Lake Erie,Fourier-only,0.5753907584838137,0.4429917117582116,0.2827856694447646,0.8465951949428797,1461,1.1442681307714746,0.9345790554414788,-1.836473947275635,1.683606986997954,1.2243342653599905,1.089666571750942,-2.247305906392221,1.8014114595600454,1461,True,Fourier-only,0.5753907584838137
Lake Ontario,Fourier-only,0.9337997947739156,0.8492468114798315,-0.1694052059517001,1.0810124937011771,1431,1.044925309706454,0.8988399720475189,-0.4642929511994964,1.209656846252288,0.43890699832719143,0.33996693651797805,0.741653557267026,0.5081002923966684,1431,True,XGBoost,0.43890699832719143
Lake Woods,Fourier-only,1.0632122023639603,0.5959479670381957,0.2979710346441329,0.8375848928419256,1461,1.40009919857542,0.8631930184804928,-0.2173984393465784,1.1029801337865175,1.2077846235344654,0.7525542055687456,0.09407108988153878,0.9514771860499589,1461,True,Fourier-only,1.0632122023639603
Great Salt Lake,Fourier-only,2.9620638953395164,2.6249706252467404,-2.4173828509245547,1.847983706595492,1461,1.602744053499076,1.4509240246406416,-0.0005369667526295,0.999926065527906,2.0956512827205374,1.79219705841461,-0.7105777774449817,1.307442905356232,1461,True,Seasonal Naive,1.602744053499076
Lake Tahoe,Fourier-only,2.2768273696317203,2.0570133673431696,-0.5559100061710687,1.246934258015353,1461,2.7779712681869126,2.4006228610540727,-1.316219780933927,1.5213922620075122,2.3782448574744826,1.9849214735102927,-0.6976079471201608,1.3024768703537892,1461,True,Fourier-only,2.2768273696317203
Red Lake,Fourier-only,0.90681736916681,0.7315403853592988,-0.87781662555854,1.3698654423435022,1461,1.040942156528166,0.8523579739904176,-1.474381808538872,1.5724783580365564,1.2130847593092031,1.008559939614883,-2.3604374249118485,1.8325221228813708,1461,True,Fourier-only,0.90681736916681
Lake Champlain,Fourier-only,1.1419945519822348,0.9602910795033875,0.4594743911548471,0.7349528142875847,1461,1.6937255495405166,1.4148802190280632,-0.1889792849674239,1.090030033072306,1.3485525584915812,0.9440340676852728,0.24625583151876762,0.8678872384791627,1461,True,Fourier-only,1.1419945519822348
