Lake,d,Level ADF Statistic,Level ADF p-value,First Difference ADF Statistic,First Difference ADF p-value,ADF Segment Start,ADF Segment End,ADF N
Lake Superior,1,-2.0669509453573047,0.25800969691261144,-9.314145875383389,1.0299526208601406e-15,2006-01-01,2018-12-31,4748
Lake Huron,1,-1.754312193794828,0.40336851315273775,-8.508432659716087,1.18536152746552e-13,2006-01-01,2018-12-31,4748
Lake Michigan,1,-1.431341441963969,0.5671618630323246,-10.909374615337809,1.106935971198846e-19,2006-01-01,2018-12-31,4748
Lake Erie,0,-3.0639001216416477,0.029342672179839237,,,2006-01-01,2018-12-31,4748
Lake Ontario,0,-5.2209932022963725,7.964643042357049e-06,,,2006-01-01,2018-12-31,4748
Lake Woods,0,-6.1324734475362765,8.337700017685736e-08,,,2011-03-07,2018-12-31,2857
Great Salt Lake,0,-3.584426436006016,0.006065836500934622,,,2006-01-01,2018-12-31,4748
Lake Champlain,0,-5.637592305676345,1.0543612370204805e-06,,,2006-01-01,2018-12-31,4748
Red Lake,1,-2.7266696291869756,0.06953586145368394,-5.964466424535172,2.0029759436621445e-07,2012-01-07,2018-12-31,2551
Lake Tahoe,0,-2.865173494747672,0.04955032014078515,,,2006-01-01,2018-12-31,4748
