Lake,Climate Variable,Lag,Correlation,Abs Correlation,N
Lake Superior,PRCP,29,0.08364749084658497,0.08364749084658497,4719
Lake Superior,TMEAN,29,0.3544306829721555,0.3544306829721555,4719
Lake Huron,PRCP,7,0.06467081355062965,0.06467081355062965,4741
Lake Huron,TMEAN,3,0.2876939521348942,0.2876939521348942,4745
Lake Michigan,PRCP,0,0.04350534859573629,0.04350534859573629,4748
Lake Michigan,TMEAN,0,0.30264214424020147,0.30264214424020147,4748
Lake Erie,PRCP,0,0.08576633166140657,0.08576633166140657,4748
Lake Erie,TMEAN,0,0.3388344716391246,0.3388344716391246,4748
Lake Ontario,PRCP,17,0.05223453834535449,0.05223453834535449,4731
Lake Ontario,TMEAN,0,0.47367221417122785,0.47367221417122785,4748
Lake Woods,PRCP,29,0.17999556013469217,0.17999556013469217,4685
Lake Woods,TMEAN,30,0.5589602342383392,0.5589602342383392,4697
Great Salt Lake,PRCP,30,0.025618706247564647,0.025618706247564647,4718
Great Salt Lake,TMEAN,30,-0.10354226250116776,0.10354226250116776,4718
Lake Champlain,PRCP,10,0.10939520061403026,0.10939520061403026,4738
Lake Champlain,TMEAN,30,-0.18505072971924422,0.18505072971924422,4718
Red Lake,PRCP,6,0.09038885361037788,0.09038885361037788,4484
Red Lake,TMEAN,0,0.3848586762181692,0.3848586762181692,4511
Lake Tahoe,PRCP,0,-0.05877416254353056,0.05877416254353056,4748
Lake Tahoe,TMEAN,0,0.1614577047544067,0.1614577047544067,4748
